district_code,district_name_w_charters,district_name_x,total_#_of_classes,average_class_size,number_of_students,african_american_%,asian_%,hispanic_%,white_%,native_american_%,"native_hawaiian,_pacific_islander_%","multi-race,_non-hispanic_%",tests_taken_x,score=1_x,score=2_x,score=3_x,score=4_x,score=5_x,%_score_1-2_x,%_score_3-5_x,tests_taken_y,score=1_y,score=2_y,score=3_y,score=4_y,score=5_y,%_score_1-2_y,%_score_3-5_y,tests_takers,tests_taken_x,one_test,two_tests,three_tests,four_tests,five_or_more_tests,high_school_graduates_(#),attending_coll./univ._(#),attending_coll./univ._(%),private_two-year_(%),private_four-year_(%),public_two-year_(%),public_four-year_(%),ma_community_college_(%),ma_state_university_(%),univ.of_mass._(%),tests_taken_y,reading_/_writing,writing,math,#_in_cohort,%_graduated,%_still_in_school,%_non-grad_completers,%_h.s._equiv.,%_dropped_out,%_permanently_excluded
6150000,Athol-Royalston,Athol-Royalston,685,18.6,"1,485",1.9,1,11.5,81.4,0.1,0,4.2,97,64,23,7,3,0,89.7,10.3,97,64,23,7,3,0,89.7,10.3,60,97,31,21,8,0,0,79,38,48.1,0,15.8,55.3,28.9,52.6,18.4,5.3,2,,,,93,81.7,6.5,0,0,11.8,0
4910000,Atlantis Charter (District),Atlantis Charter (District),542,13.1,"1,290",5.4,2.2,15.2,73.3,0.1,0.1,3.9,96,54,25,11,5,1,82.3,17.7,96,54,25,11,5,1,82.3,17.7,59,96,29,24,5,1,0,58,44,75.9,0,27.3,27.3,45.5,27.3,22.7,15.9,75,479,,449,63,90.5,3.2,0,0,1.6,4.8
160000,Attleboro,Attleboro,"3,057",17.1,"5,768",6.9,4.6,15.6,66.3,0.2,0.1,6.4,596,181,162,157,69,27,57.6,42.4,596,181,162,157,69,27,57.6,42.4,377,596,195,145,37,0,0,421,261,62,0,40.6,19.9,39.1,18.4,10,14.6,262,560,,554,447,90.2,6.9,0.2,0.4,2.2,0
170000,Auburn,Auburn,"1,520",16.2,"2,526",2.5,4.7,9.7,79.9,0.1,0,3.1,285,64,87,80,35,19,53,47,285,64,87,80,35,19,53,47,180,285,105,52,17,5,1,180,139,77.2,0,38.1,18,43.9,18,18.7,13.7,44,558,,566,182,95.1,2.7,0,0.5,1.6,0
180000,Avon,Avon,356,13.4,696,30,4.5,12.4,45.8,0.6,0,6.8,21,2,7,7,5,0,42.9,57.1,21,2,7,7,5,0,42.9,57.1,13,21,6,6,1,0,0,47,35,74.5,0,37.1,17.1,45.7,17.1,25.7,17.1,6,,,,52,90.4,5.8,0,1.9,1.9,0
6160000,Ayer Shirley School District,Ayer Shirley School District,950,16.4,"1,615",3.8,3.2,11.1,74.9,0.7,0.3,6,110,19,28,29,22,12,42.7,57.3,110,19,28,29,22,12,42.7,57.3,52,110,19,16,13,2,2,104,73,70.2,0,31.5,16.4,52.1,16.4,17.8,20.5,24,578,,535,114,89.5,3.5,0,0,7,0
200000,Barnstable,Barnstable,"3,180",10.1,"4,598",8.6,2.1,20.6,61.4,0.4,0.1,6.9,474,113,120,118,80,43,49.2,50.8,474,113,120,118,80,43,49.2,50.8,307,474,205,61,26,9,6,341,216,63.3,0,31.5,28.2,40.3,27.3,11.6,11.1,82,555,,553,374,85.8,4.5,3.7,1.1,4.8,0
35020000,Baystate Academy Charter Public School (District),Baystate Academy Charter Public School (District),369,13.3,470,27.7,0.9,60,9.8,0,0.4,1.3,13,11,2,0,0,0,100,0,13,11,2,0,0,0,100,0,13,13,13,0,0,0,0,52,28,53.8,0,42.9,39.3,17.9,39.3,14.3,3.6,22,474,,467,54,89.2,3.7,1.9,0,5.3,0
230000,Bedford,Bedford,"1,162",14.9,"2,621",6.5,19.8,7.3,60.6,0,0,5.8,275,17,29,67,87,75,16.7,83.3,275,17,29,67,87,75,16.7,83.3,163,275,90,44,21,7,1,194,151,77.8,0,43.7,12.6,43.7,11.3,3.3,20.5,249,611,,626,204,95.1,3.9,0.5,0,0.5,0
240000,Belchertown,Belchertown,"1,189",15.8,"2,172",1.7,1.2,6.5,86.7,0.3,0.2,3.6,62,7,5,22,16,12,19.4,80.6,62,7,5,22,16,12,19.4,80.6,40,62,25,9,5,1,0,169,114,67.5,0,34.2,33.3,32.5,33.3,9.6,13.2,64,580,,584,176,93.2,3.4,0.6,0.6,2.3,0
250000,Bellingham,Bellingham,787,16.4,"2,004",2.2,3,7.4,84.4,0.1,0.3,2.7,207,60,70,40,24,13,62.8,37.2,207,60,70,40,24,13,62.8,37.2,115,207,53,38,20,2,2,154,89,57.8,0,37.1,11.2,51.7,10.1,30.3,12.4,63,565,,555,156,94.2,1.9,1.3,1.3,1.3,0
260000,Belmont,Belmont,"2,062",18.9,"4,439",3.4,21.3,4,63,0.1,0.1,8.2,"1,037",24,67,177,331,438,8.8,91.2,"1,037",24,67,177,331,438,8.8,91.2,491,"1,037",209,130,72,52,28,333,260,78.1,0,65.4,4.2,30.4,4.2,0.8,17.7,396,650,,673,343,96.2,2.9,0,0,0.9,0
4200000,Benjamin Banneker Charter Public (District),,117,12.6,338,78.4,1.8,11.2,2.7,0.3,0.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4470000,Benjamin Franklin Classical Charter Public (District),,224,26,772,3,19.2,4.7,68.4,0.4,0.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270000,Berkley,,468,12.7,879,0.8,0.2,2.5,91.8,0.1,0.1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4140000,Berkshire Arts and Technology Charter Public (District),Berkshire Arts and Technology Charter Public (District),141,18.5,366,12.3,2.7,12.3,66.4,0.3,0,6,37,9,14,8,5,1,62.2,37.8,37,9,14,8,5,1,62.2,37.8,28,37,19,9,0,0,0,27,21,77.8,0,28.6,14.3,57.1,14.3,19,23.8,63,541,,492,30,90,3.3,0,0,6.7,0
6180000,Berkshire Hills,Berkshire Hills,763,10.9,"1,169",1.6,3,11.3,77.9,0.2,0.3,5.7,99,8,28,35,20,8,36.4,63.6,99,8,28,35,20,8,36.4,63.6,74,99,54,15,5,0,0,114,70,61.4,0,45.7,27.1,27.1,22.9,2.9,10,107,583,,546,115,93,4.3,0,0.9,1.7,0
6200000,Berlin-Boylston,Berlin-Boylston,686,15.7,"1,057",1.5,4.5,7.5,82.5,0.3,0.1,3.6,85,4,18,30,28,5,25.9,74.1,85,4,18,30,28,5,25.9,74.1,52,85,28,17,5,2,0,77,57,74,0,36.8,22.8,40.4,22.8,21.1,10.5,63,599,,594,79,97.5,2.5,0,0,0,0
300000,Beverly,Beverly,"1,732",16.4,"4,655",3.5,2.5,14.9,75,0.1,0,4,269,25,92,82,52,18,43.5,56.5,269,25,92,82,52,18,43.5,56.5,158,269,87,41,23,5,2,289,217,75.1,0,36.9,16.6,46.5,16.6,11.5,14.7,185,548,,522,310,91,3.9,0,0.3,4.8,0
310000,Billerica,Billerica,"3,002",13.2,"4,638",5.3,9.1,8.1,74.1,0.1,0.1,3.3,457,71,103,106,93,84,38.1,61.9,457,71,103,106,93,84,38.1,61.9,220,457,92,66,35,17,10,342,272,79.5,0,37.1,16.9,46,16.9,9.2,26.1,258,538,,535,350,94.6,3.4,0.3,0.6,1.1,0
8050000,Blackstone Valley Regional Vocational Technical,Blackstone Valley Regional Vocational Technical,796,17.4,"1,230",1.2,2,7.9,86.4,0,0.1,2.4,359,75,112,98,48,26,52.1,47.9,359,75,112,98,48,26,52.1,47.9,233,359,129,89,10,4,1,296,208,70.3,0,34.6,13,52.4,12.5,22.1,17.3,183,584,,570,298,99,0.3,0.3,0,0.3,0
6220000,Blackstone-Millville,Blackstone-Millville,887,14.6,"1,590",1.8,0.8,8.4,84.7,0,0,4.4,91,12,35,27,16,1,51.6,48.4,91,12,35,27,16,1,51.6,48.4,57,91,37,10,6,4,0,104,61,58.7,0,47.5,6.6,45.9,4.9,14.8,16.4,42,527,,524,113,90.3,5.3,0,0.9,3.5,0
8060000,Blue Hills Regional Vocational Technical,Blue Hills Regional Vocational Technical,329,19.1,874,22.1,2.3,15.1,54.4,0.7,0,5.5,59,16,26,13,2,2,71.2,28.8,59,16,26,13,2,2,71.2,28.8,43,59,27,16,0,0,0,188,109,58,0,32.1,27.5,40.4,26.6,12.8,22.9,19,544,,535,191,97.9,1,0,0,1,0
350000,Boston,Boston,"27,831",16.2,"49,310",29.5,9,42.8,14.8,0.3,0.2,3.5,"5,505","1,614","1,335","1,136",898,522,53.6,46.4,"5,505","1,614","1,335","1,136",898,522,53.6,46.4,"3,161","5,505","1,636",907,459,122,37,3328,1680,50.5,0.8,39.2,22,38,21.5,5.8,28.3,"2,299",536,,549,"3,923",75.4,13.8,0.1,0.4,10.4,0
4490000,Boston Collegiate Charter (District),Boston Collegiate Charter (District),212,24.7,719,34.6,1.8,17.5,42.7,0.1,0.1,3.1,218,85,87,36,8,2,78.9,21.1,218,85,87,36,8,2,78.9,21.1,112,218,45,40,15,12,0,58,50,86.2,0,48,10,42,8,20,18,64,498,,511,63,88.9,11.1,0,0,0,0
4240000,Boston Day and Evening Academy Charter (District),,415,14.7,437,47.4,0.7,45.5,4.1,0.9,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,40,12,30,0,16.7,41.7,41.7,41.7,0,33.3,5,,,,151,6,63.6,0,0.7,29.8,0
4110000,Boston Green Academy Horace Mann Charter School (District),Boston Green Academy Horace Mann Charter School (District),270,16.4,501,44.3,1.8,43.9,6.6,0.2,0.4,2.8,59,54,5,0,0,0,100,0,59,54,5,0,0,0,100,0,37,59,19,14,4,0,0,66,35,53,0,37.1,37.1,25.7,37.1,14.3,8.6,32,430,,445,77,80.5,9.1,1.3,0,9.1,0
4160000,Boston Preparatory Charter Public (District),Boston Preparatory Charter Public (District),207,19.4,663,68.2,0.5,27.3,1.1,0,0.2,2.9,63,46,13,4,0,0,93.7,6.3,63,46,13,4,0,0,93.7,6.3,43,63,28,10,5,0,0,48,37,77.1,0,45.9,13.5,40.5,13.5,10.8,29.7,79,448,,474,48,89.6,10.4,0,0,0,0
4810000,Boston Renaissance Charter Public (District),,500,16.5,951,60.3,0.1,34.6,1.6,0.1,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360000,Bourne,Bourne,999,15.2,"1,656",1.8,1.9,5.4,85.9,1.2,0,3.9,135,16,37,43,23,16,39.3,60.7,135,16,37,43,23,16,39.3,60.7,72,135,30,24,16,1,1,124,94,75.8,0,27.7,18.1,54.3,17,10.6,23.4,91,527,,506,140,88.6,5,0,0,6.4,0
380000,Boxford,,352,13.9,678,0.3,3.5,3.5,87.9,0,0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000,Braintree,Braintree,"3,180",14.8,"5,517",5.3,23.6,5.2,63.6,0.2,0.2,2.1,774,57,121,229,211,156,23,77,774,57,121,229,211,156,23,77,362,774,147,96,59,45,15,415,328,79,0,43.3,11.6,44.8,11.6,9.5,26.5,526,557,,570,431,94.9,2.3,0.2,0.2,2.3,0
410000,Brewster,,322,13.9,429,3.3,0.7,8.6,81.1,0,0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4170000,Bridge Boston Charter School (District),,125,15.3,335,66,0.9,26.6,3,0,0.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250000,Bridgewater-Raynham,Bridgewater-Raynham,"1,866",18.8,"5,353",8,2.3,3.6,80.8,0.1,0.1,5.1,370,47,99,101,93,30,39.5,60.5,370,47,99,101,93,30,39.5,60.5,228,370,129,70,18,8,3,370,267,72.2,0,39.3,10.9,49.4,10.1,16.5,17.2,153,563,,568,384,92.7,4.9,1,0,1.3,0
430000,Brimfield,,81,18.5,260,1.9,1.2,5,91.5,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9100000,Bristol County Agricultural,Bristol County Agricultural,228,18.7,448,2.2,0.5,4.5,91.1,0,0.2,1.6,54,12,26,11,4,1,70.4,29.6,54,12,26,11,4,1,70.4,29.6,32,54,14,14,4,0,0,104,55,52.9,0,27.3,36.4,36.4,36.4,7.3,5.5,23,552,,505,109,95.4,0,0,0,4.6,0
8100000,Bristol-Plymouth Regional Vocational Technical,Bristol-Plymouth Regional Vocational Technical,"1,036",18.9,"1,310",3.6,1,6,85.3,0.4,0,3.7,67,26,19,15,6,1,67.2,32.8,67,26,19,15,6,1,67.2,32.8,52,67,38,13,1,0,0,272,107,39.3,0,24.3,35.5,39.3,34.6,20.6,14,57,544,,536,280,97.1,0.4,1.4,0,1.1,0
440000,Brockton,Brockton,"7,619",18.3,"15,418",60.9,1.9,17,15.3,0.3,0.2,4.5,423,203,121,57,30,12,76.6,23.4,423,203,121,57,30,12,76.6,23.4,290,423,187,78,21,3,1,1122,476,42.4,0.2,29.6,35.9,32.4,34.9,11.3,17.4,46,523,,496,"1,276",79.6,10,2.6,0.4,7.4,0
4280000,Brooke Charter School (District),Brooke Charter School (District),937,17.3,"2,060",52.4,1.8,38.9,4,0.2,0.1,2.6,319,162,73,52,23,9,73.7,26.3,319,162,73,52,23,9,73.7,26.3,193,319,103,59,26,5,0,54,43,79.6,0,53.5,7,39.5,4.7,2.3,37.2,47,499,,545,62,87.1,1.6,0,0,11.3,0
450000,Brookfield,,85,16.1,259,0.4,0.8,5.4,89.2,0,0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460000,Brookline,Brookline,"4,507",14.5,"6,834",6.5,19.3,11.2,52,0,0.1,11,757,12,49,150,255,291,8.1,91.9,757,12,49,150,255,291,8.1,91.9,435,757,228,117,69,17,4,473,352,74.4,0,60.2,6.3,33.5,5.7,4,15.6,533,639,,652,488,94.5,3.7,0,0.8,1,0
480000,Burlington,Burlington,"1,964",14.1,"3,474",7.6,17.6,7.7,62.9,0.2,0,4,245,23,43,71,72,36,26.9,73.1,245,23,43,71,72,36,26.9,73.1,146,245,84,35,18,8,1,256,213,83.2,0,32.4,15,52.6,14.6,7,31,293,540,,534,266,94.4,3.4,1.1,0,1.1,0
490000,Cambridge,Cambridge,"4,599",11.9,"6,649",23.6,11.9,14.2,40.1,0.2,0.1,9.9,758,62,112,173,216,195,23,77,758,62,112,173,216,195,23,77,417,758,212,106,68,26,5,500,326,65.2,0,50.6,13.2,36.2,12.6,6.4,23,302,615,,601,527,89.2,5.9,1.1,0.4,3.4,0
500000,Canton,Canton,"2,326",16.2,"3,193",11.2,11.4,6,64.8,0.1,0.2,6.4,571,81,140,127,130,93,38.7,61.3,571,81,140,127,130,93,38.7,61.3,252,571,83,80,57,10,22,239,202,84.5,0,51.5,8.4,40.1,8.4,5.4,17.8,352,568,,567,243,96.3,2.1,0,0,1.6,0
4320000,Cape Cod Lighthouse Charter (District),,191,14,250,0.8,1.2,4.4,90.4,0.4,0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150000,Cape Cod Regional Vocational Technical,Cape Cod Regional Vocational Technical,408,13.3,627,8.3,0.5,13.6,71.1,1.3,0.3,4.9,26,3,15,6,2,0,69.2,30.8,26,3,15,6,2,0,69.2,30.8,17,26,8,9,0,0,0,138,42,30.4,0,23.8,47.6,28.6,47.6,11.9,9.5,3,,,,139,96.4,1.4,0,0,2.2,0
510000,Carlisle,,380,13.7,589,0.5,12.9,5.8,72,0,0.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520000,Carver,Carver,"1,169",10.5,"1,469",2.4,0.3,2,93.7,0.3,0.1,1.3,106,24,41,26,12,3,61.3,38.7,106,24,41,26,12,3,61.3,38.7,71,106,44,19,8,0,0,100,66,66,0,27.3,24.2,48.5,24.2,21.2,15.2,96,531,,521,103,94.2,1.9,0,0,3.9,0
6350000,Central Berkshire,Central Berkshire,713,15.3,"1,498",0.5,0.7,4.5,89.7,0.2,0,4.4,167,45,65,37,14,6,65.9,34.1,167,45,65,37,14,6,65.9,34.1,105,167,60,30,13,2,0,114,77,67.5,0,33.8,26,40.3,22.1,18.2,13,56,523,,533,121,93.4,1.7,0,0,5,0
560000,Chelmsford,Chelmsford,"2,237",19.1,"4,925",4,16.7,7.7,67.7,0.2,0.1,3.6,460,37,99,140,114,70,29.6,70.4,460,37,99,140,114,70,29.6,70.4,260,460,128,83,35,11,3,364,298,81.9,0,40.9,8.4,50.7,8.4,9.4,24.5,326,574,,579,367,97.3,1.9,0,0,0.8,0
570000,Chelsea,Chelsea,"2,758",14.6,"6,112",4.3,0.1,88.1,6.1,0.2,0,1.2,166,53,59,35,16,3,67.5,32.5,166,53,59,35,16,3,67.5,32.5,125,166,89,31,5,0,0,324,106,32.7,0,12.3,66,21.7,64.2,6.6,14.2,22,523,,520,415,66.3,19.3,0,0.7,13.7,0
6320000,Chesterfield-Goshen,,52,15.1,119,0.8,0,2.5,94.1,1.7,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610000,Chicopee,Chicopee,"3,270",14.1,"6,855",4.6,2,41.2,48.7,0,0.1,3.3,389,128,136,61,47,17,67.9,32.1,389,128,136,61,47,17,67.9,32.1,214,389,117,45,37,8,7,488,237,48.6,0,35.4,41.8,22.8,41.4,10.5,8,110,559,,546,553,85.2,4.9,0.2,1.1,8.7,0
4180000,Christa McAuliffe Charter Public (District),,173,20.7,400,7.3,9.8,32,45.3,0.3,0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4370000,City on a Hill Charter Public School Circuit Street (District),City on a Hill Charter Public School Circuit Street (District),89,18.3,275,65.1,0,32.4,1.8,0,0,0.7,50,45,5,0,0,0,100,0,50,45,5,0,0,0,100,0,28,50,13,8,7,0,0,47,34,72.3,0,70.6,8.8,20.6,8.8,11.8,8.8,8,,,,58,65.5,32.8,0,0,1.7,0
630000,Clarksburg,,98,16.1,192,0,0.5,2.6,95.3,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
640000,Clinton,Clinton,850,15.8,"1,848",2.9,1.1,33.3,60.3,0,0.1,2.4,98,35,40,15,4,4,76.5,23.5,98,35,40,15,4,4,76.5,23.5,60,98,34,17,7,1,1,104,64,61.5,0,32.8,17.2,50,17.2,18.8,18.8,72,525,,498,112,89.3,4.5,0,0.9,5.4,0
4380000,Codman Academy Charter Public (District),Codman Academy Charter Public (District),127,16.9,343,77.6,0,21,0.3,0.3,0,0.9,18,17,1,0,0,0,100,0,18,17,1,0,0,0,100,0,14,18,11,2,1,0,0,33,24,72.7,0,37.5,8.3,54.2,8.3,16.7,37.5,29,418,,417,29,93.1,3.4,0,0,3.4,0
650000,Cohasset,Cohasset,901,16.3,"1,444",2.8,1.9,1.4,91.8,0.2,0,1.9,400,30,83,112,108,67,28.3,71.8,400,30,83,112,108,67,28.3,71.8,192,400,63,64,51,14,0,118,99,83.9,0,58.6,1,40.4,1,0,12.1,116,616,,585,121,97.5,2.5,0,0,0,0
35030000,Collegiate Charter School of Lowell (District),,335,27.1,"1,003",20.3,27.8,32.5,15.4,0.5,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4360000,Community Charter School of Cambridge (District),Community Charter School of Cambridge (District),84,21.1,306,70.9,4.3,15,4.9,0.3,0,4.6,88,35,26,15,10,2,69.3,30.7,88,35,26,15,10,2,69.3,30.7,49,88,22,17,8,2,0,47,37,78.7,0,54.1,2.7,43.2,2.7,16.2,24.3,4,,,,46,100,0,0,0,0,0
4260000,Community Day Charter Public School - Gateway (District),,120,20,399,1.3,0.5,95.5,2.3,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400000,Community Day Charter Public School - Prospect (District),,114,21.1,400,0.8,0,97.3,1.8,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4310000,Community Day Charter Public School - R. Kingman Webster (District),,120,20.4,404,1.2,1,94.6,2.7,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000,Concord,,"1,358",16.4,"2,027",4.7,7.7,7.1,73.9,0.1,0.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400000,Concord-Carlisle,Concord-Carlisle,536,19.5,"1,316",4.6,7.8,5,76.6,0.2,0,5.9,512,5,32,94,173,208,7.2,92.8,512,5,32,94,173,208,7.2,92.8,274,512,125,78,57,10,4,300,230,76.7,0,64.8,5.7,29.6,5.7,1.3,7.8,375,639,,647,296,98.3,1.4,0,0.3,0,0
4390000,Conservatory Lab Charter (District),,174,16.8,447,48.6,1.8,41.4,5.2,0.2,0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680000,Conway,,93,14.5,130,0.8,0,4.6,92.3,0,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710000,Danvers,Danvers,"2,116",16.8,"3,327",2.3,2.4,9.1,83.6,0.1,0,2.6,361,70,90,101,69,31,44.3,55.7,361,70,90,101,69,31,44.3,55.7,186,361,84,61,22,10,9,230,163,70.9,0,39.3,14.7,46,14.7,13.5,11,145,549,,530,237,95.8,3,0,0.4,0.8,0
