district_name_x,district_code,total_#_of_classes,average_class_size,number_of_students,african_american_%,asian_%,hispanic_%,white_%,native_american_%,"native_hawaiian,_pacific_islander_%","multi-race,_non-hispanic_%",district_name_y,tests_taken_x,score=1,score=2,score=3,score=4,score=5,%_score_1-2,%_score_3-5,district_name_x,tests_takers,tests_taken_y,one_test,two_tests,three_tests,four_tests,five_or_more_tests,district_name_y,high_school_graduates_(#),attending_coll./univ._(#),attending_coll./univ._(%),private_two-year_(%),private_four-year_(%),public_two-year_(%),public_four-year_(%),ma_community_college_(%),ma_state_university_(%),univ.of_mass._(%),district_name_x,tests_taken,reading_/_writing,writing,math,district_name_y,#_in_cohort,%_graduated,%_still_in_school,%_non-grad_completers,%_h.s._equiv.,%_dropped_out,%_permanently_excluded
Ashburnham-Westminster,6100000,"   1,230",17.4,"      2,247",1.2,1.0,5.5,89.3,0.1,0.0,3.0,Ashburnham-Westminster,      97,       4,      23,      32,      22,      16,27.8,72.2,Ashburnham-Westminster,      59,      97,      32,      19,       6,       1,       1,Ashburnham-Westminster,164.0,121.0,73.8,0.0,35.5,19.8,44.6,19.8,17.4,19.0,Ashburnham-Westminster,      60,599.0,,600.0,Ashburnham-Westminster,       172,94.2,5.8,0.0,0.0,0.0,0.0
Ashland,140000,"   1,741",15.4,"      2,776",3.0,15.9,14.7,62.4,0.4,0.0,3.5,Ashland,     377,      16,      31,      86,     111,     133,12.5,87.5,Ashland,     187,     377,      83,      45,      38,      15,       6,Ashland,220.0,184.0,83.6,0.0,42.4,5.4,52.2,5.4,12.0,23.9,Ashland,     174,602.0,,635.0,Ashland,       228,94.3,3.1,0.0,0.4,2.2,0.0
Assabet Valley Regional Vocational Technical,8010000,     673,12.3,"      1,138",1.7,0.5,22.3,73.0,0.1,0.0,2.4,Assabet Valley Regional Vocational Technical,      68,      17,      28,      15,       5,       3,66.2,33.8,Assabet Valley Regional Vocational Technical,      52,      68,      37,      14,       1,       0,       0,Assabet Valley Regional Vocational Technical,264.0,107.0,40.5,0.0,27.1,25.2,47.7,25.2,34.6,9.3,Assabet Valley Regional Vocational Technical,      59,519.0,,502.0,Assabet Valley Regional Vocational Technical,       266,99.2,0.0,0.0,0.0,0.8,0.0
Athol-Royalston,6150000,     685,18.6,"      1,485",1.9,1.0,11.5,81.4,0.1,0.0,4.2,Athol-Royalston,      97,      64,      23,       7,       3,       0,89.7,10.3,Athol-Royalston,      60,      97,      31,      21,       8,       0,       0,Athol-Royalston,79.0,38.0,48.1,0.0,15.8,55.3,28.9,52.6,18.4,5.3,Athol-Royalston,       2,,,,Athol-Royalston,        93,81.7,6.5,0.0,0.0,11.8,0.0
Atlantis Charter (District),4910000,     542,13.1,"      1,290",5.4,2.2,15.2,73.3,0.1,0.1,3.9,Atlantis Charter (District),      96,      54,      25,      11,       5,       1,82.3,17.7,Atlantis Charter (District),      59,      96,      29,      24,       5,       1,       0,Atlantis Charter (District),58.0,44.0,75.9,0.0,27.3,27.3,45.5,27.3,22.7,15.9,Atlantis Charter (District),      75,479.0,,449.0,Atlantis Charter (District),        63,90.5,3.2,0.0,0.0,1.6,4.8
Attleboro,160000,"   3,057",17.1,"      5,768",6.9,4.6,15.6,66.3,0.2,0.1,6.4,Attleboro,     596,     181,     162,     157,      69,      27,57.6,42.4,Attleboro,     377,     596,     195,     145,      37,       0,       0,Attleboro,421.0,261.0,62.0,0.0,40.6,19.9,39.1,18.4,10.0,14.6,Attleboro,     262,560.0,,554.0,Attleboro,       447,90.2,6.9,0.2,0.4,2.2,0.0
Auburn,170000,"   1,520",16.2,"      2,526",2.5,4.7,9.7,79.9,0.1,0.0,3.1,Auburn,     285,      64,      87,      80,      35,      19,53.0,47.0,Auburn,     180,     285,     105,      52,      17,       5,       1,Auburn,180.0,139.0,77.2,0.0,38.1,18.0,43.9,18.0,18.7,13.7,Auburn,      44,558.0,,566.0,Auburn,       182,95.1,2.7,0.0,0.5,1.6,0.0
Avon,180000,     356,13.4,        696,30.0,4.5,12.4,45.8,0.6,0.0,6.8,Avon,      21,       2,       7,       7,       5,       0,42.9,57.1,Avon,      13,      21,       6,       6,       1,       0,       0,Avon,47.0,35.0,74.5,0.0,37.1,17.1,45.7,17.1,25.7,17.1,Avon,       6,,,,Avon,        52,90.4,5.8,0.0,1.9,1.9,0.0
Ayer Shirley School District,6160000,     950,16.4,"      1,615",3.8,3.2,11.1,74.9,0.7,0.3,6.0,Ayer Shirley School District,     110,      19,      28,      29,      22,      12,42.7,57.3,Ayer Shirley School District,      52,     110,      19,      16,      13,       2,       2,Ayer Shirley School District,104.0,73.0,70.2,0.0,31.5,16.4,52.1,16.4,17.8,20.5,Ayer Shirley School District,      24,578.0,,535.0,Ayer Shirley School District,       114,89.5,3.5,0.0,0.0,7.0,0.0
Barnstable,200000,"   3,180",10.1,"      4,598",8.6,2.1,20.6,61.4,0.4,0.1,6.9,Barnstable,     474,     113,     120,     118,      80,      43,49.2,50.8,Barnstable,     307,     474,     205,      61,      26,       9,       6,Barnstable,341.0,216.0,63.3,0.0,31.5,28.2,40.3,27.3,11.6,11.1,Barnstable,      82,555.0,,553.0,Barnstable,       374,85.8,4.5,3.7,1.1,4.8,0.0
Baystate Academy Charter Public School (District),35020000,     369,13.3,        470,27.7,0.9,60.0,9.8,0.0,0.4,1.3,Baystate Academy Charter Public School (District),      13,      11,       2,       0,       0,       0,100.0,0.0,Baystate Academy Charter Public School (District),      13,      13,      13,       0,       0,       0,       0,Baystate Academy Charter Public School (District),52.0,28.0,53.8,0.0,42.9,39.3,17.9,39.3,14.3,3.6,Baystate Academy Charter Public School (District),      22,474.0,,467.0,Baystate Academy Charter Public School (District),        54,89.2,3.7,1.9,0.0,5.3,0.0
Bedford,230000,"   1,162",14.9,"      2,621",6.5,19.8,7.3,60.6,0.0,0.0,5.8,Bedford,     275,      17,      29,      67,      87,      75,16.7,83.3,Bedford,     163,     275,      90,      44,      21,       7,       1,Bedford,194.0,151.0,77.8,0.0,43.7,12.6,43.7,11.3,3.3,20.5,Bedford,     249,611.0,,626.0,Bedford,       204,95.1,3.9,0.5,0.0,0.5,0.0
Belchertown,240000,"   1,189",15.8,"      2,172",1.7,1.2,6.5,86.7,0.3,0.2,3.6,Belchertown,      62,       7,       5,      22,      16,      12,19.4,80.6,Belchertown,      40,      62,      25,       9,       5,       1,       0,Belchertown,169.0,114.0,67.5,0.0,34.2,33.3,32.5,33.3,9.6,13.2,Belchertown,      64,580.0,,584.0,Belchertown,       176,93.2,3.4,0.6,0.6,2.3,0.0
Bellingham,250000,     787,16.4,"      2,004",2.2,3.0,7.4,84.4,0.1,0.3,2.7,Bellingham,     207,      60,      70,      40,      24,      13,62.8,37.2,Bellingham,     115,     207,      53,      38,      20,       2,       2,Bellingham,154.0,89.0,57.8,0.0,37.1,11.2,51.7,10.1,30.3,12.4,Bellingham,      63,565.0,,555.0,Bellingham,       156,94.2,1.9,1.3,1.3,1.3,0.0
Belmont,260000,"   2,062",18.9,"      4,439",3.4,21.3,4.0,63.0,0.1,0.1,8.2,Belmont,"   1,037",      24,      67,     177,     331,     438,8.8,91.2,Belmont,     491,"   1,037",     209,     130,      72,      52,      28,Belmont,333.0,260.0,78.1,0.0,65.4,4.2,30.4,4.2,0.8,17.7,Belmont,     396,650.0,,673.0,Belmont,       343,96.2,2.9,0.0,0.0,0.9,0.0
Benjamin Banneker Charter Public (District),4200000,     117,12.6,        338,78.4,1.8,11.2,2.7,0.3,0.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Franklin Classical Charter Public (District),4470000,     224,26.0,        772,3.0,19.2,4.7,68.4,0.4,0.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkley,270000,     468,12.7,        879,0.8,0.2,2.5,91.8,0.1,0.1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Arts and Technology Charter Public (District),4140000,     141,18.5,        366,12.3,2.7,12.3,66.4,0.3,0.0,6.0,Berkshire Arts and Technology Charter Public (District),      37,       9,      14,       8,       5,       1,62.2,37.8,Berkshire Arts and Technology Charter Public (District),      28,      37,      19,       9,       0,       0,       0,Berkshire Arts and Technology Charter Public (District),27.0,21.0,77.8,0.0,28.6,14.3,57.1,14.3,19.0,23.8,Berkshire Arts and Technology Charter Public (District),      63,541.0,,492.0,Berkshire Arts and Technology Charter Public (District),        30,90.0,3.3,0.0,0.0,6.7,0.0
Berkshire Hills,6180000,     763,10.9,"      1,169",1.6,3.0,11.3,77.9,0.2,0.3,5.7,Berkshire Hills,      99,       8,      28,      35,      20,       8,36.4,63.6,Berkshire Hills,      74,      99,      54,      15,       5,       0,       0,Berkshire Hills,114.0,70.0,61.4,0.0,45.7,27.1,27.1,22.9,2.9,10.0,Berkshire Hills,     107,583.0,,546.0,Berkshire Hills,       115,93.0,4.3,0.0,0.9,1.7,0.0
Berlin-Boylston,6200000,     686,15.7,"      1,057",1.5,4.5,7.5,82.5,0.3,0.1,3.6,Berlin-Boylston,      85,       4,      18,      30,      28,       5,25.9,74.1,Berlin-Boylston,      52,      85,      28,      17,       5,       2,       0,Berlin-Boylston,77.0,57.0,74.0,0.0,36.8,22.8,40.4,22.8,21.1,10.5,Berlin-Boylston,      63,599.0,,594.0,Berlin-Boylston,        79,97.5,2.5,0.0,0.0,0.0,0.0
Beverly,300000,"   1,732",16.4,"      4,655",3.5,2.5,14.9,75.0,0.1,0.0,4.0,Beverly,     269,      25,      92,      82,      52,      18,43.5,56.5,Beverly,     158,     269,      87,      41,      23,       5,       2,Beverly,289.0,217.0,75.1,0.0,36.9,16.6,46.5,16.6,11.5,14.7,Beverly,     185,548.0,,522.0,Beverly,       310,91.0,3.9,0.0,0.3,4.8,0.0
Billerica,310000,"   3,002",13.2,"      4,638",5.3,9.1,8.1,74.1,0.1,0.1,3.3,Billerica,     457,      71,     103,     106,      93,      84,38.1,61.9,Billerica,     220,     457,      92,      66,      35,      17,      10,Billerica,342.0,272.0,79.5,0.0,37.1,16.9,46.0,16.9,9.2,26.1,Billerica,     258,538.0,,535.0,Billerica,       350,94.6,3.4,0.3,0.6,1.1,0.0
Blackstone Valley Regional Vocational Technical,8050000,     796,17.4,"      1,230",1.2,2.0,7.9,86.4,0.0,0.1,2.4,Blackstone Valley Regional Vocational Technical,     359,      75,     112,      98,      48,      26,52.1,47.9,Blackstone Valley Regional Vocational Technical,     233,     359,     129,      89,      10,       4,       1,Blackstone Valley Regional Vocational Technical,296.0,208.0,70.3,0.0,34.6,13.0,52.4,12.5,22.1,17.3,Blackstone Valley Regional Vocational Technical,     183,584.0,,570.0,Blackstone Valley Regional Vocational Technical,       298,99.0,0.3,0.3,0.0,0.3,0.0
Blackstone-Millville,6220000,     887,14.6,"      1,590",1.8,0.8,8.4,84.7,0.0,0.0,4.4,Blackstone-Millville,      91,      12,      35,      27,      16,       1,51.6,48.4,Blackstone-Millville,      57,      91,      37,      10,       6,       4,       0,Blackstone-Millville,104.0,61.0,58.7,0.0,47.5,6.6,45.9,4.9,14.8,16.4,Blackstone-Millville,      42,527.0,,524.0,Blackstone-Millville,       113,90.3,5.3,0.0,0.9,3.5,0.0
Blue Hills Regional Vocational Technical,8060000,     329,19.1,        874,22.1,2.3,15.1,54.4,0.7,0.0,5.5,Blue Hills Regional Vocational Technical,      59,      16,      26,      13,       2,       2,71.2,28.8,Blue Hills Regional Vocational Technical,      43,      59,      27,      16,       0,       0,       0,Blue Hills Regional Vocational Technical,188.0,109.0,58.0,0.0,32.1,27.5,40.4,26.6,12.8,22.9,Blue Hills Regional Vocational Technical,      19,544.0,,535.0,Blue Hills Regional Vocational Technical,       191,97.9,1.0,0.0,0.0,1.0,0.0
Boston,350000,"  27,831",16.2,"     49,310",29.5,9.0,42.8,14.8,0.3,0.2,3.5,Boston,"   5,505","   1,614","   1,335","   1,136",     898,     522,53.6,46.4,Boston,"   3,161","   5,505","   1,636",     907,     459,     122,      37,Boston,3328.0,1680.0,50.5,0.8,39.2,22.0,38.0,21.5,5.8,28.3,Boston,"   2,299",536.0,,549.0,Boston,"     3,923",75.4,13.8,0.1,0.4,10.4,0.0
Boston Collegiate Charter (District),4490000,     212,24.7,        719,34.6,1.8,17.5,42.7,0.1,0.1,3.1,Boston Collegiate Charter (District),     218,      85,      87,      36,       8,       2,78.9,21.1,Boston Collegiate Charter (District),     112,     218,      45,      40,      15,      12,       0,Boston Collegiate Charter (District),58.0,50.0,86.2,0.0,48.0,10.0,42.0,8.0,20.0,18.0,Boston Collegiate Charter (District),      64,498.0,,511.0,Boston Collegiate Charter (District),        63,88.9,11.1,0.0,0.0,0.0,0.0
Boston Day and Evening Academy Charter (District),4240000,     415,14.7,        437,47.4,0.7,45.5,4.1,0.9,0.0,1.4,,,,,,,,,,,,,,,,,,Boston Day and Evening Academy Charter (District),40.0,12.0,30.0,0.0,16.7,41.7,41.7,41.7,0.0,33.3,Boston Day and Evening Academy Charter (District),       5,,,,Boston Day and Evening Academy Charter (District),       151,6.0,63.6,0.0,0.7,29.8,0.0
Boston Green Academy Horace Mann Charter School (District),4110000,     270,16.4,        501,44.3,1.8,43.9,6.6,0.2,0.4,2.8,Boston Green Academy Horace Mann Charter School (District),      59,      54,       5,       0,       0,       0,100.0,0.0,Boston Green Academy Horace Mann Charter School (District),      37,      59,      19,      14,       4,       0,       0,Boston Green Academy Horace Mann Charter School (District),66.0,35.0,53.0,0.0,37.1,37.1,25.7,37.1,14.3,8.6,Boston Green Academy Horace Mann Charter School (District),      32,430.0,,445.0,Boston Green Academy Horace Mann Charter School (District),        77,80.5,9.1,1.3,0.0,9.1,0.0
Boston Preparatory Charter Public (District),4160000,     207,19.4,        663,68.2,0.5,27.3,1.1,0.0,0.2,2.9,Boston Preparatory Charter Public (District),      63,      46,      13,       4,       0,       0,93.7,6.3,Boston Preparatory Charter Public (District),      43,      63,      28,      10,       5,       0,       0,Boston Preparatory Charter Public (District),48.0,37.0,77.1,0.0,45.9,13.5,40.5,13.5,10.8,29.7,Boston Preparatory Charter Public (District),      79,448.0,,474.0,Boston Preparatory Charter Public (District),        48,89.6,10.4,0.0,0.0,0.0,0.0
Boston Renaissance Charter Public (District),4810000,     500,16.5,        951,60.3,0.1,34.6,1.6,0.1,0.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourne,360000,     999,15.2,"      1,656",1.8,1.9,5.4,85.9,1.2,0.0,3.9,Bourne,     135,      16,      37,      43,      23,      16,39.3,60.7,Bourne,      72,     135,      30,      24,      16,       1,       1,Bourne,124.0,94.0,75.8,0.0,27.7,18.1,54.3,17.0,10.6,23.4,Bourne,      91,527.0,,506.0,Bourne,       140,88.6,5.0,0.0,0.0,6.4,0.0
Boxford,380000,     352,13.9,        678,0.3,3.5,3.5,87.9,0.0,0.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,400000,"   3,180",14.8,"      5,517",5.3,23.6,5.2,63.6,0.2,0.2,2.1,Braintree,     774,      57,     121,     229,     211,     156,23.0,77.0,Braintree,     362,     774,     147,      96,      59,      45,      15,Braintree,415.0,328.0,79.0,0.0,43.3,11.6,44.8,11.6,9.5,26.5,Braintree,     526,557.0,,570.0,Braintree,       431,94.9,2.3,0.2,0.2,2.3,0.0
Brewster,410000,     322,13.9,        429,3.3,0.7,8.6,81.1,0.0,0.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Boston Charter School (District),4170000,     125,15.3,        335,66.0,0.9,26.6,3.0,0.0,0.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater-Raynham,6250000,"   1,866",18.8,"      5,353",8.0,2.3,3.6,80.8,0.1,0.1,5.1,Bridgewater-Raynham,     370,      47,      99,     101,      93,      30,39.5,60.5,Bridgewater-Raynham,     228,     370,     129,      70,      18,       8,       3,Bridgewater-Raynham,370.0,267.0,72.2,0.0,39.3,10.9,49.4,10.1,16.5,17.2,Bridgewater-Raynham,     153,563.0,,568.0,Bridgewater-Raynham,       384,92.7,4.9,1.0,0.0,1.3,0.0
Brimfield,430000,      81,18.5,        260,1.9,1.2,5.0,91.5,0.4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol County Agricultural,9100000,     228,18.7,        448,2.2,0.5,4.5,91.1,0.0,0.2,1.6,Bristol County Agricultural,      54,      12,      26,      11,       4,       1,70.4,29.6,Bristol County Agricultural,      32,      54,      14,      14,       4,       0,       0,Bristol County Agricultural,104.0,55.0,52.9,0.0,27.3,36.4,36.4,36.4,7.3,5.5,Bristol County Agricultural,      23,552.0,,505.0,Bristol County Agricultural,       109,95.4,0.0,0.0,0.0,4.6,0.0
Bristol-Plymouth Regional Vocational Technical,8100000,"   1,036",18.9,"      1,310",3.6,1.0,6.0,85.3,0.4,0.0,3.7,Bristol-Plymouth Regional Vocational Technical,      67,      26,      19,      15,       6,       1,67.2,32.8,Bristol-Plymouth Regional Vocational Technical,      52,      67,      38,      13,       1,       0,       0,Bristol-Plymouth Regional Vocational Technical,272.0,107.0,39.3,0.0,24.3,35.5,39.3,34.6,20.6,14.0,Bristol-Plymouth Regional Vocational Technical,      57,544.0,,536.0,Bristol-Plymouth Regional Vocational Technical,       280,97.1,0.4,1.4,0.0,1.1,0.0
Brockton,440000,"   7,619",18.3,"     15,418",60.9,1.9,17.0,15.3,0.3,0.2,4.5,Brockton,     423,     203,     121,      57,      30,      12,76.6,23.4,Brockton,     290,     423,     187,      78,      21,       3,       1,Brockton,1122.0,476.0,42.4,0.2,29.6,35.9,32.4,34.9,11.3,17.4,Brockton,      46,523.0,,496.0,Brockton,"     1,276",79.6,10.0,2.6,0.4,7.4,0.0
Brooke Charter School (District),4280000,     937,17.3,"      2,060",52.4,1.8,38.9,4.0,0.2,0.1,2.6,Brooke Charter School (District),     319,     162,      73,      52,      23,       9,73.7,26.3,Brooke Charter School (District),     193,     319,     103,      59,      26,       5,       0,Brooke Charter School (District),54.0,43.0,79.6,0.0,53.5,7.0,39.5,4.7,2.3,37.2,Brooke Charter School (District),      47,499.0,,545.0,Brooke Charter School (District),        62,87.1,1.6,0.0,0.0,11.3,0.0
Brookfield,450000,      85,16.1,        259,0.4,0.8,5.4,89.2,0.0,0.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline,460000,"   4,507",14.5,"      6,834",6.5,19.3,11.2,52.0,0.0,0.1,11.0,Brookline,     757,      12,      49,     150,     255,     291,8.1,91.9,Brookline,     435,     757,     228,     117,      69,      17,       4,Brookline,473.0,352.0,74.4,0.0,60.2,6.3,33.5,5.7,4.0,15.6,Brookline,     533,639.0,,652.0,Brookline,       488,94.5,3.7,0.0,0.8,1.0,0.0
Burlington,480000,"   1,964",14.1,"      3,474",7.6,17.6,7.7,62.9,0.2,0.0,4.0,Burlington,     245,      23,      43,      71,      72,      36,26.9,73.1,Burlington,     146,     245,      84,      35,      18,       8,       1,Burlington,256.0,213.0,83.2,0.0,32.4,15.0,52.6,14.6,7.0,31.0,Burlington,     293,540.0,,534.0,Burlington,       266,94.4,3.4,1.1,0.0,1.1,0.0
Cambridge,490000,"   4,599",11.9,"      6,649",23.6,11.9,14.2,40.1,0.2,0.1,9.9,Cambridge,     758,      62,     112,     173,     216,     195,23.0,77.0,Cambridge,     417,     758,     212,     106,      68,      26,       5,Cambridge,500.0,326.0,65.2,0.0,50.6,13.2,36.2,12.6,6.4,23.0,Cambridge,     302,615.0,,601.0,Cambridge,       527,89.2,5.9,1.1,0.4,3.4,0.0
Canton,500000,"   2,326",16.2,"      3,193",11.2,11.4,6.0,64.8,0.1,0.2,6.4,Canton,     571,      81,     140,     127,     130,      93,38.7,61.3,Canton,     252,     571,      83,      80,      57,      10,      22,Canton,239.0,202.0,84.5,0.0,51.5,8.4,40.1,8.4,5.4,17.8,Canton,     352,568.0,,567.0,Canton,       243,96.3,2.1,0.0,0.0,1.6,0.0
Cape Cod Lighthouse Charter (District),4320000,     191,14.0,        250,0.8,1.2,4.4,90.4,0.4,0.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Cod Regional Vocational Technical,8150000,     408,13.3,        627,8.3,0.5,13.6,71.1,1.3,0.3,4.9,Cape Cod Regional Vocational Technical,      26,       3,      15,       6,       2,       0,69.2,30.8,Cape Cod Regional Vocational Technical,      17,      26,       8,       9,       0,       0,       0,Cape Cod Regional Vocational Technical,138.0,42.0,30.4,0.0,23.8,47.6,28.6,47.6,11.9,9.5,Cape Cod Regional Vocational Technical,       3,,,,Cape Cod Regional Vocational Technical,       139,96.4,1.4,0.0,0.0,2.2,0.0
Carlisle,510000,     380,13.7,        589,0.5,12.9,5.8,72.0,0.0,0.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carver,520000,"   1,169",10.5,"      1,469",2.4,0.3,2.0,93.7,0.3,0.1,1.3,Carver,     106,      24,      41,      26,      12,       3,61.3,38.7,Carver,      71,     106,      44,      19,       8,       0,       0,Carver,100.0,66.0,66.0,0.0,27.3,24.2,48.5,24.2,21.2,15.2,Carver,      96,531.0,,521.0,Carver,       103,94.2,1.9,0.0,0.0,3.9,0.0
